T2262,Mechanic7,10000,1,532,Tsk 2262 M396-T1,7,Mechanic 7,Mod334,Mod334,Mod396,Mod370,Mechanic,C1,,2016/04/23 08:18:00,0.00555555555556,2016/04/23 08:26:00,T2263,2,FC94(1.0),,Mod396
T2096,Mechanic8,10000,1,1897,Tsk 2096 M453-T2,8,Mechanic 8,Mod406,Mod406,Mod453,Mod451,Mechanic,C1,,2016/04/23 08:18:00,0.0215277777778,2016/04/23 08:49:00,T1762,2,FC121(1.0),,Mod453
T2304,Assistant2,10000,1,5600,Tsk 2304 M2303-T1,2,Assistant 2,Mod334,Mod334,Mod2303,Mod1715,Assistant,,,2016/04/23 08:18:00,0.0645833333333,2016/04/23 09:50:59,T2210,1,FC113(2.0),,Mod2303
T2304,Assistant1,10000,1,5600,Tsk 2304 M2303-T1,1,Assistant 1,Mod334,Mod334,Mod2303,Mod1715,Assistant,,,2016/04/23 08:18:00,0.0645833333333,2016/04/23 09:50:59,T2210,1,FC113(2.0),,Mod2303
T1718,Mechanic4,10000,1,1580,Tsk 1718 M695-T2,4,Mechanic 4,Mod674,Mod674,Mod695,Mod693,Mechanic,C1,,2016/04/23 08:20:59,0.0180555555556,2016/04/23 08:47:00,T2084,2,FC122(1.0),,Mod695
T2199,Tester2,10000,1,2242,Tsk 2199 M655-T2,2,Tester 2,Mod334,Mod334,Mod655,Mod653,Tester,,,2016/04/23 08:20:59,0.0256944444444,2016/04/23 08:58:00,T1997,2,FC100(1.0),,Mod655
T2291,Tester1,10000,1,2561,Tsk 2291 M420-T3,1,Tester 1,Mod406,Mod406,Mod420,Mod418,Tester,,,2016/04/23 08:20:59,0.0291666666667,2016/04/23 09:02:59,T1977,1,FC130(1.0),,Mod420
T2207,Sealer1,10000,1,8129,Tsk 2207 M2206-T1,1,Sealer 1,Mod334,Mod334,Mod2206,Mod1715,Sealer,,,2016/04/23 08:20:59,0.09375,2016/04/23 10:35:59,T2135,3,,,Mod2206
T805,Mechanic3,10000,1,1238,Tsk 805 M804-T1,3,Mechanic 3,Mod334,Mod334,Mod804,Mod795,Mechanic,C1,,2016/04/23 08:22:00,0.0138888888889,2016/04/23 08:42:00,T2085,4,,,Mod804
T2263,Mechanic7,10000,1,4197,Tsk 2263 M396-T2,7,Mechanic 7,Mod334,Mod334,Mod396,Mod370,Mechanic,C1,,2016/04/23 08:26:00,0.0479166666667,2016/04/23 09:34:59,T2106,3,FC94(1.0),,Mod396
T1753,Sealer3,10000,1,1330,Tsk 1753 M590-T1,3,Sealer 3,Mod334,Mod334,Mod590,Mod576,Sealer,,,2016/04/23 08:31:00,0.0152777777778,2016/04/23 08:53:00,T1922,3,,,Mod590
T2017,Electrician1,10000,1,1064,Tsk 2017 M518-T1,1,Electrician 1,Mod334,Mod334,Mod518,Mod406,Electrician,,,2016/04/23 08:33:59,0.0118055555556,2016/04/23 08:51:00,T1755,3,FC111(1.0),,Mod518
T803,Mechanic5,10000,1,2149,Tsk 803 M802-T1,5,Mechanic 5,Mod334,Mod334,Mod802,Mod795,Mechanic,C1,,2016/04/23 08:35:00,0.0243055555556,2016/04/23 09:09:59,T2086,3,,,Mod802
T2013,Mechanic2,10000,1,3946,Tsk 2013 M498-T2,2,Mechanic 2,Mod334,Mod334,Mod498,Mod406,Mechanic,C1,,2016/04/23 08:35:00,0.0451388888889,2016/04/23 09:39:59,T801,2,FC129(1.0),,Mod498
T807,Mechanic1,10000,1,1448,Tsk 807 M806-T1,1,Mechanic 1,Mod334,Mod334,Mod806,Mod795,Mechanic,C1,,2016/04/23 08:38:59,0.0166666666667,2016/04/23 09:02:59,T2138,3,,,Mod806
